f (Hz)	Rs (Ohm)	Xs (Ohm)	Rs_CSE (Ohm)	Xs_CSE (Ohm)	Rs_ASE_diffuse (Ohm)	Xs_ASE_diffuse (Ohm)	Rs_relaxation (Ohm)	Xs_relaxation (Ohm)	Rs_local (Ohm)	Xs_local (Ohm)	Rs_anomalous_reflection (Ohm)	Xs_anomalous_reflection (Ohm)
335160.2650938841	8.480092393987902e-06	-1.3184529222859432e-05	5.144238897439826e-06	-5.144238897439826e-06	7.0155750210623545e-06	-1.215133238079109e-05	0.00030616582327592964	-8.643418638559803e-08	5.1438758405781945e-06	-5.14460197992616e-06	0.2518010891551806	-8.643418638559803e-08
422924.2874389499	9.796402792268746e-06	-1.5320884535283556e-05	5.778647184874548e-06	-5.778647184874548e-06	8.192252705240882e-06	-1.4189397913920786e-05	0.00030616582327592964	-1.0906757302287825e-07	5.7781325659099e-06	-5.779161849672807e-06	0.2518010891551806	-1.0906757302287825e-07
533669.9231206302	1.1323373326982531e-05	-1.7808365661376063e-05	6.491293260870397e-06	-6.491293260870397e-06	9.566287037774938e-06	-1.656929518921376e-05	0.00030616582327592964	-1.376276677382245e-07	6.490563810292122e-06	-6.492022793428937e-06	0.2518010891551806	-1.376276677382245e-07
673415.0657750828	1.3095360298159842e-05	-2.0705176382831845e-05	7.291825725044034e-06	-7.291825725044034e-06	1.1170779391431168e-05	-1.934835746610212e-05	0.00030616582327592964	-1.736664198358023e-07	7.290791762914592e-06	-7.292859833807438e-06	0.2518010891551806	-1.736664198358023e-07
849753.4359086438	1.5152386861295472e-05	-2.407921897765816e-05	8.191083081229386e-06	-8.191083081229386e-06	1.3044383021257064e-05	-2.259353414620604e-05	0.00030616582327592964	-2.1914216722724e-07	8.189617493847642e-06	-8.192548930887894e-06	0.2518010891551806	-2.1914216722724e-07
1072267.222010323	1.7541083990002907e-05	-2.8009715572022594e-05	9.201240481264685e-06	-9.201240481264683e-06	1.5232234246410979e-05	-2.638300362757444e-05	0.00030616582327592964	-2.7652605208569784e-07	9.199163097712581e-06	-9.203318333937984e-06	0.2518010891551806	-2.7652605208569784e-07
1353047.7745798077	2.0315788213840325e-05	-3.258910117523123e-05	1.0335974565814934e-05	-1.0335974565814934e-05	1.778703981318512e-05	-3.080805667268705e-05	0.00030616582327592964	-3.489363021714109e-07	1.0333030015410905e-05	-1.0338919955312342e-05	0.2518010891551806	-3.489363021714109e-07
1707352.6474706887	2.3539822268266774e-05	-3.792523402984795e-05	1.1610648634029538e-05	-1.1610648634029538e-05	2.077034663449831e-05	-3.59752956617683e-05	0.00030616582327592964	-4.403076746465989e-07	1.1606474965736102e-05	-1.1614823803166863e-05	0.2518010891551806	-4.403076746465989e-07
2154434.6900318866	2.728698913810414e-05	-4.41439766034655e-05	1.3042520649068902e-05	-1.30425206490689e-05	2.4254024494701144e-05	-4.200920271284243e-05	0.00030616582327592964	-5.556052699196061e-07	1.303660486086285e-05	-1.304843912175841e-05	0.2518010891551806	-5.556052699196061e-07
2718588.2427329402	3.164331503898089e-05	-5.1392209551873275e-05	1.4650976895711265e-05	-1.4650976895711267e-05	2.8321997439007615e-05	-4.90551385361968e-05	0.00030616582327592964	-7.01094334115808e-07	1.464259191749378e-05	-1.4659366675528092e-05	0.2518010891551806	-7.01094334115808e-07
